funcid,dim,milestone,error
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.450463e+04
14,50,80,9.450463e+04
14,50,90,9.450463e+04
14,50,100,9.450463e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.450463e+04
14,50,80,9.450463e+04
14,50,90,9.450463e+04
14,50,100,9.450463e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,4.101459e+04
14,50,50,4.101459e+04
14,50,60,4.101459e+04
14,50,70,4.101459e+04
14,50,80,4.101459e+04
14,50,90,3.722127e+04
14,50,100,3.722127e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,2.085989e+04
14,50,80,2.085989e+04
14,50,90,2.085989e+04
14,50,100,2.085989e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.450463e+04
14,50,80,9.450463e+04
14,50,90,9.450463e+04
14,50,100,9.198395e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.450463e+04
14,50,80,6.046659e+04
14,50,90,6.046659e+04
14,50,100,6.046659e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,3.363288e+04
14,50,50,3.363288e+04
14,50,60,3.363288e+04
14,50,70,3.363288e+04
14,50,80,3.363288e+04
14,50,90,3.363288e+04
14,50,100,3.363288e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.151247e+04
14,50,80,3.751892e+04
14,50,90,3.751892e+04
14,50,100,3.751892e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,5.822346e+04
14,50,40,5.822346e+04
14,50,50,3.370676e+04
14,50,60,3.370676e+04
14,50,70,3.370676e+04
14,50,80,3.370676e+04
14,50,90,3.370676e+04
14,50,100,3.370676e+04
14,50,1,1.618621e+07
14,50,2,1.618621e+07
14,50,3,1.618621e+07
14,50,5,1.618621e+07
14,50,10,1.663893e+05
14,50,20,9.450463e+04
14,50,30,9.450463e+04
14,50,40,9.450463e+04
14,50,50,9.450463e+04
14,50,60,9.450463e+04
14,50,70,9.450463e+04
14,50,80,9.450463e+04
14,50,90,7.889705e+04
14,50,100,7.889705e+04
