funcid,dim,milestone,error
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,2.801295e+03
16,50,40,2.801295e+03
16,50,50,2.801295e+03
16,50,60,2.652414e+03
16,50,70,2.652414e+03
16,50,80,2.652414e+03
16,50,90,2.203568e+03
16,50,100,2.203568e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,6.673514e+03
16,50,40,2.421510e+03
16,50,50,2.235621e+03
16,50,60,2.235621e+03
16,50,70,2.235621e+03
16,50,80,2.235621e+03
16,50,90,2.235621e+03
16,50,100,2.235621e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,7.227441e+03
16,50,40,2.218770e+03
16,50,50,2.218770e+03
16,50,60,2.218770e+03
16,50,70,2.218770e+03
16,50,80,2.218770e+03
16,50,90,2.218770e+03
16,50,100,2.218770e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,7.227441e+03
16,50,40,2.608859e+03
16,50,50,2.570591e+03
16,50,60,2.570591e+03
16,50,70,2.570591e+03
16,50,80,2.570591e+03
16,50,90,2.570591e+03
16,50,100,2.382943e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,2.793840e+03
16,50,40,2.793840e+03
16,50,50,1.879077e+03
16,50,60,1.879077e+03
16,50,70,1.879077e+03
16,50,80,1.879077e+03
16,50,90,1.879077e+03
16,50,100,1.879077e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,3.911215e+03
16,50,40,2.835582e+03
16,50,50,2.695616e+03
16,50,60,2.695616e+03
16,50,70,2.695616e+03
16,50,80,2.695616e+03
16,50,90,2.695616e+03
16,50,100,2.599498e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,2.499581e+03
16,50,40,2.499581e+03
16,50,50,2.499581e+03
16,50,60,2.499581e+03
16,50,70,2.499581e+03
16,50,80,2.499581e+03
16,50,90,2.499581e+03
16,50,100,2.499581e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,3.147786e+03
16,50,40,3.147786e+03
16,50,50,2.257469e+03
16,50,60,2.257469e+03
16,50,70,2.257469e+03
16,50,80,2.257469e+03
16,50,90,2.257469e+03
16,50,100,2.257469e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,2.659277e+03
16,50,40,2.659277e+03
16,50,50,2.659277e+03
16,50,60,2.518209e+03
16,50,70,2.518209e+03
16,50,80,2.518209e+03
16,50,90,2.518209e+03
16,50,100,2.518209e+03
16,50,1,1.153558e+04
16,50,2,1.153554e+04
16,50,3,1.153554e+04
16,50,5,7.242604e+03
16,50,10,7.227441e+03
16,50,20,7.227441e+03
16,50,30,3.525083e+03
16,50,40,2.877154e+03
16,50,50,2.877154e+03
16,50,60,2.877154e+03
16,50,70,2.877154e+03
16,50,80,2.877154e+03
16,50,90,2.877154e+03
16,50,100,2.870809e+03
