funcid,dim,milestone,error
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.733901e+03
10,50,80,4.733901e+03
10,50,90,4.733901e+03
10,50,100,4.733901e+03
10,50,1,9.368316e+03
10,50,2,7.580310e+03
10,50,3,6.605372e+03
10,50,5,5.990624e+03
10,50,10,4.733901e+03
10,50,20,4.733901e+03
10,50,30,4.733901e+03
10,50,40,4.733901e+03
10,50,50,4.733901e+03
10,50,60,4.733901e+03
10,50,70,4.049758e+03
10,50,80,3.907555e+03
10,50,90,3.907555e+03
10,50,100,3.907555e+03
