funcid,dim,milestone,error
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,9.179204e+06
18,50,30,9.179204e+06
18,50,40,9.179204e+06
18,50,50,9.179204e+06
18,50,60,2.446451e+06
18,50,70,2.446451e+06
18,50,80,2.446451e+06
18,50,90,2.446451e+06
18,50,100,2.446451e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,4.428880e+06
18,50,30,4.428880e+06
18,50,40,4.428880e+06
18,50,50,4.428880e+06
18,50,60,4.428880e+06
18,50,70,4.428880e+06
18,50,80,4.428880e+06
18,50,90,4.428880e+06
18,50,100,4.428880e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,8.126883e+06
18,50,30,8.126883e+06
18,50,40,8.126883e+06
18,50,50,4.592193e+06
18,50,60,4.592193e+06
18,50,70,4.592193e+06
18,50,80,4.424925e+06
18,50,90,4.424925e+06
18,50,100,4.424925e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,1.194088e+07
18,50,30,1.194088e+07
18,50,40,1.194088e+07
18,50,50,1.194088e+07
18,50,60,9.156052e+06
18,50,70,6.040296e+06
18,50,80,6.040296e+06
18,50,90,6.040296e+06
18,50,100,6.040296e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,2.560242e+06
18,50,30,2.560242e+06
18,50,40,2.560242e+06
18,50,50,2.560242e+06
18,50,60,2.560242e+06
18,50,70,2.560242e+06
18,50,80,2.560242e+06
18,50,90,2.560242e+06
18,50,100,2.560242e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,5.652907e+06
18,50,30,5.652907e+06
18,50,40,5.652907e+06
18,50,50,5.652907e+06
18,50,60,5.652907e+06
18,50,70,4.363307e+06
18,50,80,4.363307e+06
18,50,90,4.363307e+06
18,50,100,4.363307e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,8.569965e+06
18,50,30,8.569965e+06
18,50,40,8.569965e+06
18,50,50,6.356350e+06
18,50,60,6.356350e+06
18,50,70,4.886227e+06
18,50,80,4.886227e+06
18,50,90,4.886227e+06
18,50,100,4.886227e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,1.071525e+07
18,50,30,6.076212e+06
18,50,40,6.076212e+06
18,50,50,6.076212e+06
18,50,60,6.076212e+06
18,50,70,4.107913e+06
18,50,80,4.107913e+06
18,50,90,4.107913e+06
18,50,100,4.107913e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,6.739031e+06
18,50,30,6.739031e+06
18,50,40,6.739031e+06
18,50,50,6.739031e+06
18,50,60,6.739031e+06
18,50,70,6.739031e+06
18,50,80,6.739031e+06
18,50,90,6.739031e+06
18,50,100,6.739031e+06
18,50,1,7.341233e+07
18,50,2,4.118877e+07
18,50,3,4.044461e+07
18,50,5,3.123476e+07
18,50,10,1.888995e+07
18,50,20,4.138983e+06
18,50,30,4.138983e+06
18,50,40,4.138983e+06
18,50,50,4.138983e+06
18,50,60,4.138983e+06
18,50,70,4.138983e+06
18,50,80,2.830072e+06
18,50,90,2.830072e+06
18,50,100,2.830072e+06
