funcid,dim,milestone,error
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.155661e+02
25,30,80,4.155661e+02
25,30,90,4.155661e+02
25,30,100,4.155661e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175551e+02
25,30,80,4.175551e+02
25,30,90,4.175551e+02
25,30,100,4.175551e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175551e+02
25,30,80,4.175551e+02
25,30,90,4.175551e+02
25,30,100,4.175551e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,3.950321e+02
25,30,80,3.950321e+02
25,30,90,3.950321e+02
25,30,100,3.950321e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175551e+02
25,30,80,4.175551e+02
25,30,90,4.175551e+02
25,30,100,4.175551e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.068807e+02
25,30,80,4.068009e+02
25,30,90,4.068009e+02
25,30,100,4.068009e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175551e+02
25,30,80,4.175551e+02
25,30,90,4.175551e+02
25,30,100,4.175551e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175528e+02
25,30,80,4.164161e+02
25,30,90,4.164161e+02
25,30,100,4.164161e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.175551e+02
25,30,80,4.175551e+02
25,30,90,4.175551e+02
25,30,100,4.175551e+02
25,30,1,7.241830e+02
25,30,2,4.839581e+02
25,30,3,4.615565e+02
25,30,5,4.440522e+02
25,30,10,4.175551e+02
25,30,20,4.175551e+02
25,30,30,4.175551e+02
25,30,40,4.175551e+02
25,30,50,4.175551e+02
25,30,60,4.175551e+02
25,30,70,4.004577e+02
25,30,80,4.003538e+02
25,30,90,4.003538e+02
25,30,100,4.003538e+02
