funcid,dim,milestone,error
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,9.150698e+01
4,30,80,9.011870e+01
4,30,90,9.011870e+01
4,30,100,9.011870e+01
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,9.574698e+01
4,30,80,9.574698e+01
4,30,90,9.574698e+01
4,30,100,9.574698e+01
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.283989e+02
4,30,70,1.175480e+02
4,30,80,1.162169e+02
4,30,90,1.162169e+02
4,30,100,1.162169e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,9.174872e+01
4,30,80,9.174872e+01
4,30,90,9.174872e+01
4,30,100,9.174872e+01
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.155904e+02
4,30,80,1.151625e+02
4,30,90,1.151625e+02
4,30,100,1.151625e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.120321e+02
4,30,80,1.098092e+02
4,30,90,1.098092e+02
4,30,100,1.098092e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.264010e+02
4,30,80,1.264010e+02
4,30,90,1.264010e+02
4,30,100,1.264010e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.239387e+02
4,30,80,1.239387e+02
4,30,90,1.239387e+02
4,30,100,1.239387e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.299786e+02
4,30,80,1.299786e+02
4,30,90,1.299786e+02
4,30,100,1.299786e+02
4,30,1,2.833072e+02
4,30,2,2.206835e+02
4,30,3,1.609920e+02
4,30,5,1.473346e+02
4,30,10,1.303368e+02
4,30,20,1.299786e+02
4,30,30,1.299786e+02
4,30,40,1.299786e+02
4,30,50,1.299786e+02
4,30,60,1.299786e+02
4,30,70,1.282045e+02
4,30,80,1.282045e+02
4,30,90,1.282045e+02
4,30,100,1.282045e+02
