funcid,dim,milestone,error
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.504495e+07
15,50,80,1.504495e+07
15,50,90,1.504495e+07
15,50,100,1.504495e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.504495e+07
15,50,80,1.504495e+07
15,50,90,1.504495e+07
15,50,100,1.504495e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.024988e+07
15,50,80,1.024988e+07
15,50,90,1.024988e+07
15,50,100,1.024988e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.098231e+07
15,50,80,1.098231e+07
15,50,90,1.098231e+07
15,50,100,1.098231e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.504495e+07
15,50,80,1.504495e+07
15,50,90,1.504495e+07
15,50,100,1.504495e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.387516e+07
15,50,80,1.387516e+07
15,50,90,1.387516e+07
15,50,100,1.387516e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.327550e+07
15,50,80,1.327550e+07
15,50,90,1.327550e+07
15,50,100,1.327550e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.504495e+07
15,50,80,1.504495e+07
15,50,90,1.504495e+07
15,50,100,1.504495e+07
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,9.612354e+06
15,50,80,9.612354e+06
15,50,90,9.612354e+06
15,50,100,9.612354e+06
15,50,1,1.424046e+09
15,50,2,4.840793e+08
15,50,3,2.742347e+08
15,50,5,1.032492e+08
15,50,10,1.504495e+07
15,50,20,1.504495e+07
15,50,30,1.504495e+07
15,50,40,1.504495e+07
15,50,50,1.504495e+07
15,50,60,1.504495e+07
15,50,70,1.504495e+07
15,50,80,1.504495e+07
15,50,90,1.504495e+07
15,50,100,1.504495e+07
