funcid,dim,milestone,error
18,30,1,4.596544e+07
18,30,2,1.410207e+07
18,30,3,1.410207e+07
18,30,5,1.410207e+07
18,30,10,8.415247e+06
18,30,20,4.964302e+06
18,30,30,4.964302e+06
18,30,40,4.964302e+06
18,30,50,4.964302e+06
18,30,60,3.515328e+06
18,30,70,3.515328e+06
18,30,80,3.515328e+06
18,30,90,3.515328e+06
18,30,100,3.515328e+06
18,30,1,1.082650e+07
18,30,2,1.082650e+07
18,30,3,1.082650e+07
18,30,5,1.082650e+07
18,30,10,9.202622e+06
18,30,20,3.004922e+06
18,30,30,3.004922e+06
18,30,40,3.004922e+06
18,30,50,3.004922e+06
18,30,60,3.004922e+06
18,30,70,3.004922e+06
18,30,80,3.004922e+06
18,30,90,3.004922e+06
18,30,100,3.004922e+06
18,30,1,4.407389e+07
18,30,2,1.373208e+07
18,30,3,1.373208e+07
18,30,5,1.373208e+07
18,30,10,4.758265e+06
18,30,20,4.758265e+06
18,30,30,4.758265e+06
18,30,40,4.758265e+06
18,30,50,4.758265e+06
18,30,60,4.758265e+06
18,30,70,4.195353e+06
18,30,80,4.195353e+06
18,30,90,4.195353e+06
18,30,100,4.195353e+06
18,30,1,2.009722e+07
18,30,2,2.009722e+07
18,30,3,2.009722e+07
18,30,5,2.009722e+07
18,30,10,2.050354e+06
18,30,20,2.050354e+06
18,30,30,2.050354e+06
18,30,40,2.050354e+06
18,30,50,2.050354e+06
18,30,60,2.050354e+06
18,30,70,2.050354e+06
18,30,80,2.050354e+06
18,30,90,2.050354e+06
18,30,100,2.050354e+06
18,30,1,2.819945e+07
18,30,2,2.819945e+07
18,30,3,2.060032e+07
18,30,5,1.166771e+07
18,30,10,1.166771e+07
18,30,20,6.589104e+06
18,30,30,6.220209e+06
18,30,40,6.220209e+06
18,30,50,4.339148e+06
18,30,60,2.739767e+06
18,30,70,2.739767e+06
18,30,80,2.739767e+06
18,30,90,2.739767e+06
18,30,100,2.739767e+06
18,30,1,1.643874e+07
18,30,2,1.643874e+07
18,30,3,1.285542e+07
18,30,5,4.591646e+06
18,30,10,4.591646e+06
18,30,20,4.591646e+06
18,30,30,4.591646e+06
18,30,40,4.591646e+06
18,30,50,4.591646e+06
18,30,60,4.591646e+06
18,30,70,4.415803e+06
18,30,80,4.413697e+06
18,30,90,4.413697e+06
18,30,100,4.229879e+06
18,30,1,3.844848e+07
18,30,2,2.566281e+07
18,30,3,1.665949e+07
18,30,5,1.665949e+07
18,30,10,1.385758e+07
18,30,20,6.424857e+06
18,30,30,6.424857e+06
18,30,40,6.424857e+06
18,30,50,1.406491e+06
18,30,60,1.406491e+06
18,30,70,1.406491e+06
18,30,80,1.406491e+06
18,30,90,1.406491e+06
18,30,100,1.406491e+06
18,30,1,2.438177e+07
18,30,2,2.438177e+07
18,30,3,7.389470e+06
18,30,5,7.389470e+06
18,30,10,7.389470e+06
18,30,20,6.140771e+06
18,30,30,6.140771e+06
18,30,40,6.140771e+06
18,30,50,6.140771e+06
18,30,60,4.803081e+06
18,30,70,4.803081e+06
18,30,80,4.803081e+06
18,30,90,4.803081e+06
18,30,100,4.803081e+06
18,30,1,4.363388e+07
18,30,2,3.939409e+07
18,30,3,1.982958e+07
18,30,5,1.982958e+07
18,30,10,7.544805e+06
18,30,20,7.544805e+06
18,30,30,5.499194e+06
18,30,40,5.499194e+06
18,30,50,5.499194e+06
18,30,60,5.499194e+06
18,30,70,3.906477e+06
18,30,80,3.906477e+06
18,30,90,3.906477e+06
18,30,100,3.906477e+06
18,30,1,2.663674e+07
18,30,2,2.663674e+07
18,30,3,2.207160e+07
18,30,5,1.356052e+07
18,30,10,7.951778e+06
18,30,20,7.504744e+06
18,30,30,7.504744e+06
18,30,40,7.504744e+06
18,30,50,7.504744e+06
18,30,60,6.581534e+06
18,30,70,6.581534e+06
18,30,80,6.581534e+06
18,30,90,6.581534e+06
18,30,100,1.056055e+06
