funcid,dim,milestone,error
2,50,1,7.411880e+64
2,50,2,6.779419e+62
2,50,3,6.779419e+62
2,50,5,3.286387e+59
2,50,10,3.286387e+59
2,50,20,1.141276e+58
2,50,30,8.599647e+57
2,50,40,6.011041e+51
2,50,50,6.011041e+51
2,50,60,6.011041e+51
2,50,70,6.011041e+51
2,50,80,6.011041e+51
2,50,90,6.011041e+51
2,50,100,6.011041e+51
2,50,1,4.331500e+64
2,50,2,5.875637e+62
2,50,3,5.875637e+62
2,50,5,5.875637e+62
2,50,10,8.708062e+55
2,50,20,8.708062e+55
2,50,30,8.708062e+55
2,50,40,8.708062e+55
2,50,50,8.708062e+55
2,50,60,8.708062e+55
2,50,70,8.708062e+55
2,50,80,8.708062e+55
2,50,90,8.708062e+55
2,50,100,8.708062e+55
2,50,1,1.258726e+64
2,50,2,1.258726e+64
2,50,3,1.258726e+64
2,50,5,1.258726e+64
2,50,10,1.070397e+62
2,50,20,3.856718e+57
2,50,30,3.856718e+57
2,50,40,3.856718e+57
2,50,50,3.856718e+57
2,50,60,5.109847e+56
2,50,70,5.109847e+56
2,50,80,1.537217e+54
2,50,90,5.965212e+53
2,50,100,5.965212e+53
2,50,1,3.172101e+63
2,50,2,2.995672e+61
2,50,3,2.995672e+61
2,50,5,2.995672e+61
2,50,10,3.818045e+60
2,50,20,1.075568e+56
2,50,30,1.075568e+56
2,50,40,1.075568e+56
2,50,50,1.075568e+56
2,50,60,1.075568e+56
2,50,70,9.576543e+53
2,50,80,9.576543e+53
2,50,90,9.576543e+53
2,50,100,9.576543e+53
2,50,1,2.987388e+64
2,50,2,2.987388e+64
2,50,3,2.713993e+63
2,50,5,2.713993e+63
2,50,10,4.035661e+61
2,50,20,4.120389e+56
2,50,30,3.587431e+55
2,50,40,3.587431e+55
2,50,50,3.587431e+55
2,50,60,3.587431e+55
2,50,70,3.587431e+55
2,50,80,3.587431e+55
2,50,90,5.212841e+48
2,50,100,5.212841e+48
2,50,1,3.008890e+70
2,50,2,1.428972e+68
2,50,3,5.971541e+64
2,50,5,3.874044e+61
2,50,10,3.874044e+61
2,50,20,2.119039e+55
2,50,30,2.119039e+55
2,50,40,2.119039e+55
2,50,50,2.119039e+55
2,50,60,2.119039e+55
2,50,70,2.119039e+55
2,50,80,2.119039e+55
2,50,90,2.119039e+55
2,50,100,2.349467e+53
2,50,1,3.420066e+60
2,50,2,3.420066e+60
2,50,3,3.420066e+60
2,50,5,3.420066e+60
2,50,10,3.420066e+60
2,50,20,8.471785e+59
2,50,30,1.271248e+56
2,50,40,1.271248e+56
2,50,50,1.271248e+56
2,50,60,1.271248e+56
2,50,70,1.271248e+56
2,50,80,1.271248e+56
2,50,90,1.327776e+55
2,50,100,1.327776e+55
2,50,1,5.735069e+67
2,50,2,3.983369e+65
2,50,3,2.619991e+64
2,50,5,2.078285e+63
2,50,10,6.430146e+58
2,50,20,1.537246e+55
2,50,30,1.537246e+55
2,50,40,1.537246e+55
2,50,50,1.537246e+55
2,50,60,1.537246e+55
2,50,70,1.537246e+55
2,50,80,1.537246e+55
2,50,90,1.537246e+55
2,50,100,1.537246e+55
2,50,1,1.278125e+65
2,50,2,1.278125e+65
2,50,3,3.701125e+64
2,50,5,3.701125e+64
2,50,10,8.829597e+60
2,50,20,1.903694e+55
2,50,30,1.604919e+55
2,50,40,1.604919e+55
2,50,50,1.052363e+55
2,50,60,1.052363e+55
2,50,70,1.052363e+55
2,50,80,1.052363e+55
2,50,90,1.052363e+55
2,50,100,1.052363e+55
2,50,1,2.928858e+65
2,50,2,2.928858e+65
2,50,3,2.928858e+65
2,50,5,4.512770e+62
2,50,10,1.576980e+62
2,50,20,4.491007e+57
2,50,30,1.898254e+57
2,50,40,1.172381e+56
2,50,50,1.231818e+54
2,50,60,1.231818e+54
2,50,70,1.231818e+54
2,50,80,1.231818e+54
2,50,90,1.231818e+54
2,50,100,1.231818e+54
