funcid,dim,milestone,error
23,50,1,1.183567e+03
23,50,2,1.152369e+03
23,50,3,1.072742e+03
23,50,5,1.072742e+03
23,50,10,9.864461e+02
23,50,20,9.816066e+02
23,50,30,9.553032e+02
23,50,40,9.553032e+02
23,50,50,9.553032e+02
23,50,60,9.553032e+02
23,50,70,9.553032e+02
23,50,80,9.553032e+02
23,50,90,9.553032e+02
23,50,100,9.553032e+02
23,50,1,1.095622e+03
23,50,2,1.066182e+03
23,50,3,1.066182e+03
23,50,5,1.066182e+03
23,50,10,9.474438e+02
23,50,20,9.474438e+02
23,50,30,9.474438e+02
23,50,40,9.263165e+02
23,50,50,9.263165e+02
23,50,60,9.263165e+02
23,50,70,9.263165e+02
23,50,80,9.263165e+02
23,50,90,9.263165e+02
23,50,100,9.263165e+02
23,50,1,1.107804e+03
23,50,2,1.084800e+03
23,50,3,1.084800e+03
23,50,5,1.084559e+03
23,50,10,1.017630e+03
23,50,20,9.532762e+02
23,50,30,9.532762e+02
23,50,40,9.532762e+02
23,50,50,9.427662e+02
23,50,60,9.427662e+02
23,50,70,9.427662e+02
23,50,80,9.427662e+02
23,50,90,9.427662e+02
23,50,100,9.427662e+02
23,50,1,1.088388e+03
23,50,2,1.088388e+03
23,50,3,1.053431e+03
23,50,5,1.053431e+03
23,50,10,1.044391e+03
23,50,20,1.030759e+03
23,50,30,9.361825e+02
23,50,40,9.361825e+02
23,50,50,9.361825e+02
23,50,60,9.361825e+02
23,50,70,9.361825e+02
23,50,80,9.361825e+02
23,50,90,9.361825e+02
23,50,100,9.361825e+02
23,50,1,1.179883e+03
23,50,2,1.104274e+03
23,50,3,1.104274e+03
23,50,5,1.005091e+03
23,50,10,1.005091e+03
23,50,20,9.832722e+02
23,50,30,9.832722e+02
23,50,40,9.734752e+02
23,50,50,9.734752e+02
23,50,60,9.734752e+02
23,50,70,9.297772e+02
23,50,80,9.297772e+02
23,50,90,9.297772e+02
23,50,100,9.297772e+02
23,50,1,1.106359e+03
23,50,2,1.106359e+03
23,50,3,1.106359e+03
23,50,5,1.027430e+03
23,50,10,1.027430e+03
23,50,20,9.990445e+02
23,50,30,9.783476e+02
23,50,40,9.123184e+02
23,50,50,9.123184e+02
23,50,60,9.123184e+02
23,50,70,9.123184e+02
23,50,80,9.123184e+02
23,50,90,9.123184e+02
23,50,100,9.123184e+02
23,50,1,1.203943e+03
23,50,2,1.046076e+03
23,50,3,1.046076e+03
23,50,5,1.046076e+03
23,50,10,1.017032e+03
23,50,20,1.017032e+03
23,50,30,1.015070e+03
23,50,40,1.014869e+03
23,50,50,9.811968e+02
23,50,60,9.811968e+02
23,50,70,9.412138e+02
23,50,80,9.412138e+02
23,50,90,9.412138e+02
23,50,100,9.412138e+02
23,50,1,1.167728e+03
23,50,2,1.066540e+03
23,50,3,1.066540e+03
23,50,5,1.066540e+03
23,50,10,1.024357e+03
23,50,20,1.024357e+03
23,50,30,1.004864e+03
23,50,40,1.004864e+03
23,50,50,1.000274e+03
23,50,60,9.911520e+02
23,50,70,9.339761e+02
23,50,80,9.339761e+02
23,50,90,9.339761e+02
23,50,100,9.221259e+02
23,50,1,1.095245e+03
23,50,2,1.095245e+03
23,50,3,1.095245e+03
23,50,5,1.040961e+03
23,50,10,1.040697e+03
23,50,20,9.999787e+02
23,50,30,9.999787e+02
23,50,40,9.999787e+02
23,50,50,9.999787e+02
23,50,60,9.999787e+02
23,50,70,9.781582e+02
23,50,80,9.781582e+02
23,50,90,9.719839e+02
23,50,100,9.719839e+02
23,50,1,1.162729e+03
23,50,2,1.149697e+03
23,50,3,1.065831e+03
23,50,5,1.065831e+03
23,50,10,1.033396e+03
23,50,20,1.019089e+03
23,50,30,9.856964e+02
23,50,40,9.856964e+02
23,50,50,9.685932e+02
23,50,60,9.685932e+02
23,50,70,9.685932e+02
23,50,80,9.685932e+02
23,50,90,9.685932e+02
23,50,100,9.685932e+02
